OK,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,9,10,17,29,44,49,53,67,81,106,164,248,322,377,429,481,565,719,879,988,1159,1252,1327,1472,1524,1684,1794,1868
OR,0,0,0,0,0,3,3,3,7,14,14,15,19,19,30,30,36,39,47,75,88,114,114,161,191,209,209,327,414,479,548,606,690,736,826,899,999,1068,1132,1181,1239,1321,1321,1371
PA,0,0,0,0,0,0,0,2,4,6,10,12,16,22,41,47,63,76,96,133,185,268,371,479,644,851,1127,1687,2218,2751,3394,4087,4843,5805,7016,8420,10017,11510,12980,14559,16239,18228,19979,21655
PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,316,378,452,475,513,573,620,683,725,788
RI,0,0,1,1,2,2,2,3,2,3,3,3,5,5,14,20,20,21,23,33,44,54,66,83,106,124,132,165,203,239,294,402,489,566,657,709,806,922,1082,1230,1450,1727,2015,2349
SC,0,0,0,0,0,0,0,0,2,2,7,7,9,10,12,13,19,28,33,60,60,81,152,195,298,298,424,456,456,539,774,925,1083,1293,1554,1554,1917,2049,2049,2417,2552,2792,3065,3207
SD,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,9,9,10,11,11,11,14,14,21,28,30,41,46,58,68,90,101,108,129,165,187,212,240,288,320,393,447,536,626
TN,0,0,0,0,0,0,1,1,1,3,3,7,7,18,26,32,39,52,73,98,154,228,371,505,615,667,784,957,1203,1373,1537,1834,2239,2683,2845,3067,3321,3633,3802,4138,4362,4634,4862,5114
TX,0,0,0,0,0,1,1,5,8,8,12,13,21,23,39,51,56,57,64,83,143,194,304,334,352,410,974,1396,1731,2052,2552,2877,3266,3997,4669,5330,6110,6812,7276,8262,9353,10230,11671,12561
UT,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,28,39,51,63,78,112,136,181,257,299,346,402,480,602,719,806,887,1012,1074,1246,1428,1605,1675,1738,1846,1976,2102,2206
VA,0,0,0,0,0,0,0,0,0,2,3,8,9,17,30,30,45,51,67,77,94,114,152,219,254,290,391,460,604,739,890,1020,1250,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,17,17,17,17,19,22,23,30,30,30,33,38,40,42,43,43,45,46,50,51
VT,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,8,10,19,22,29,29,52,75,95,123,158,184,211,235,256,293,321,338,389,461,512,543,575,605,628,679,711
WA,9,18,30,34,58,76,96,149,181,246,343,390,474,543,693,793,924,1052,1218,1388,1535,1773,2006,2242,2450,2823,3275,3745,4238,4707,5102,5566,6030,6593,6962,7548,7934,8332,8679,9043,9506,9769,10224,10224
WI,0,0,0,0,0,1,1,1,1,1,1,2,3,8,19,19,33,47,72,106,155,206,281,385,416,457,585,707,842,989,1112,1221,1351,1550,1730,1912,2112,2267,2440,2578,2756,2885,3068,3213
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,12,16,20,39,51,76,96,113,126,162,191,217,237,282,324,345,412,462,523,554,577
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,10,15,18,19,23,24,26,29,44,53,70,82,86,94,109,130,150,162,187,197,210,216,221,230,320,261
